Concurso;Jogo;Mandante;Visitante;Data;1;X;2;Odds_1;Odds_X;Odds_2
1214;10;JUVENTUDE/RS;FORTALEZA/CE;Domingo;0;0;1;2,45;3,3;2,87
1214;11;BAHIA/BA;FLAMENGO/RJ;Domingo;1;0;0;6;3,5;1,66
1214;12;CRUZEIRO/MG;SPORT/PE;Domingo;0;1;0;1,42;4,1;9
1214;13;ATLETICO/GO;ATHLETICO/PR;Domingo;1;0;0;2,87;2,87;2,75
1214;14;CEARA/CE;SANTOS/SP;Domingo;1;0;0;2,45;3;3,1
1213;1;CORINTHIANS/SP;FLAMENGO/RJ;Domingo;0;0;1;4,75;3,25;1,83
1213;2;FORTALEZA/CE;SPORT/PE;Sábado;1;0;0;1,72;3,75;4,75
1213;3;JUVENTUDE/RS;INTERNACIONAL/RS;Sábado;0;1;0;3,7;3,2;2,1
1213;4;VASCO DA GAMA/RJ;CRUZEIRO/MG;Sábado;1;0;0;2,87;3,3;2,45
1213;5;ATHLETICO/PR;OPERARIO/PR;Sábado;1;0;0;1,61;3,5;6,25
1213;6;ATLETICO/MG;MIRASSOL/SP;Sábado;1;0;0;2,3;3,2;3,25
1213;7;GREMIO/RS;VITORIA/BA;Domingo;1;0;0;1,75;3,6;4,75
1213;8;ASTON VILLA;FULHAM;Domingo;1;0;0;2,3;3,1;3,4
1213;9;BAHIA/BA;PALMEIRAS/SP;Domingo;1;0;0;3,6;3,3;2,15
1213;10;FLUMINENSE/RJ;BOTAFOGO/RJ;Domingo;1;0;0;2,45;3,1;3,1
