Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3;pred_top1;pred_top2;pred_top3;hit_rank;p_top1;p_top2;p_top3
1125;6;CHILE;PARAGUAI;Domingo;1;0;0;0,509978211;0,274488272;0,215533516;0,509978211;0,274488272;0,215533516;1;0;0;1;X;2;1;0.509978;0.274488;0.215534
1125;7;BRAGANTINO/SP;ATLETICO/MG;Domingo;0;0;1;0,399179107;0,295642026;0,305178866;0,399179107;0,305178866;0,295642026;0;1;0;1;2;X;2;0.399179;0.305179;0.295642
1125;8;EQUADOR;BOLIVIA;Domingo;1;0;0;0,703753351;0,174262735;0,121983914;0,703753351;0,174262735;0,121983914;1;0;0;1;X;2;1;0.703753;0.174263;0.121984
1125;9;CRUZEIRO/MG;CUIABA/MT;Domingo;1;0;0;0,592410517;0,238483208;0,169106275;0,592410517;0,238483208;0,169106275;1;0;0;1;X;2;1;0.592411;0.238483;0.169106
1125;10;ATHLETICO/PR;CRICIUMA/SC;Domingo;1;0;0;0,640696506;0,226587789;0,132715705;0,640696506;0,226587789;0,132715705;1;0;0;1;X;2;1;0.640697;0.226588;0.132716
1125;11;FLAMENGO/RJ;GREMIO/RS;Domingo;1;0;0;0,632882047;0,223015579;0,144102374;0,632882047;0,223015579;0,144102374;1;0;0;1;X;2;1;0.632882;0.223016;0.144102
1125;12;INTERNACIONAL/RS;SAO PAULO/SP;Domingo;0;1;0;0,339582894;0,30124289;0,359174215;0,359174215;0,339582894;0,30124289;0;0;1;2;1;X;3;0.359174;0.339583;0.301243
1125;13;AMAZONAS/AM;CHAPECOENSE/SC;Domingo;0;0;1;0,460025969;0,304210722;0,235763309;0,460025969;0,304210722;0,235763309;0;0;1;1;X;2;3;0.460026;0.304211;0.235763
1125;14;BAHIA/BA;FORTALEZA/CE;Domingo;1;0;0;0,487918216;0,264869888;0,247211896;0,487918216;0,264869888;0,247211896;1;0;0;1;X;2;1;0.487918;0.264870;0.247212
1126;1;CORINTHIANS/SP;SAO PAULO/SP;Domingo;0;1;0;0,315682281;0,305498982;0,378818737;0,378818737;0,315682281;0,305498982;0;0;1;2;1;X;3;0.378819;0.315682;0.305499
1126;2;AMERICA/MG;CRB/AL;Domingo;1;0;0;0,590551181;0,251968504;0,157480315;0,590551181;0,251968504;0,157480315;1;0;0;1;X;2;1;0.590551;0.251969;0.157480
1126;3;ITUANO/SP;PAYSANDU/PA;Domingo;0;0;1;0,32764471;0,313446772;0,358908518;0,358908518;0,32764471;0,313446772;1;0;0;2;1;X;1;0.358909;0.327645;0.313447
1126;4;BRAGANTINO/SP;JUVENTUDE/RS;Domingo;1;0;0;0,596330275;0,244648318;0,159021407;0,596330275;0,244648318;0,159021407;1;0;0;1;X;2;1;0.596330;0.244648;0.159021
1126;5;FLUMINENSE/RJ;ATLETICO/GO;Domingo;0;0;1;0,539701817;0,242173892;0,218124291;0,539701817;0,242173892;0,218124291;0;0;1;1;X;2;3;0.539702;0.242174;0.218124
1126;6;BOTAFOGO/SP;VILA NOVA/GO;Domingo;1;0;0;0,417910448;0,313432836;0,268656716;0,417910448;0,313432836;0,268656716;1;0;0;1;X;2;1;0.417910;0.313433;0.268657
1126;7;ATHLETICO/PR;FLAMENGO/RJ;Domingo;0;1;0;0,387252925;0,29649052;0,316256555;0,387252925;0,316256555;0,29649052;0;0;1;1;2;X;3;0.387253;0.316257;0.296491
1126;8;VITORIA/BA;INTERNACIONAL/RS;Domingo;1;0;0;0,286335629;0,314969192;0,398695179;0,398695179;0,314969192;0,286335629;0;0;1;2;X;1;3;0.398695;0.314969;0.286336
1126;9;CRICIUMA/SC;BAHIA/BA;Domingo;0;1;0;0,305178866;0,295642026;0,399179107;0,399179107;0,305178866;0,295642026;0;0;1;2;1;X;3;0.399179;0.305179;0.295642
1126;10;CUIABA/MT;FORTALEZA/CE;Domingo;1;0;0;0,313446772;0,32764471;0,358908518;0,358908518;0,32764471;0,313446772;0;0;1;2;X;1;3;0.358909;0.327645;0.313447
1126;11;GREMIO/RS;BOTAFOGO/RJ;Domingo;0;0;1;0,294871795;0,294871795;0,41025641;0,41025641;0,294871795;0,294871795;1;0;0;2;1;X;1;0.410256;0.294872;0.294872
1126;12;VASCO DA GAMA/RJ;CRUZEIRO/MG;Domingo;0;1;0;0,386510501;0,286954766;0,326534733;0,386510501;0,326534733;0,286954766;0;0;1;1;2;X;3;0.386511;0.326535;0.286955
1126;13;GOIAS/GO;CORITIBA/PR;Domingo;0;1;0;0,480912885;0,302509718;0,216577396;0,480912885;0,302509718;0,216577396;0;1;0;1;X;2;2;0.480913;0.302510;0.216577
1126;14;SPORT/PE;MIRASSOL/SP;Domingo;1;0;0;0,54483188;0,267745953;0,187422167;0,54483188;0,267745953;0,187422167;1;0;0;1;X;2;1;0.544832;0.267746;0.187422
1127;1;BOTAFOGO/RJ;ATHLETICO/PR;Domingo;0;1;0;0,475468332;0,292595897;0,231935772;0,475468332;0,292595897;0,231935772;0;1;0;1;X;2;2;0.475468;0.292596;0.231936
1127;2;GUARANI/SP;ITUANO/SP;Domingo;0;1;0;0,524835989;0,295220244;0,179943768;0,524835989;0,295220244;0,179943768;0;1;0;1;X;2;2;0.524836;0.295220;0.179944
1127;3;NOVORIZONTINO/SP;AMAZONAS/AM;Domingo;0;1;0;0,552763819;0,27638191;0,170854271;0,552763819;0,27638191;0,170854271;0;1;0;1;X;2;2;0.552764;0.276382;0.170854
1127;4;PAYSANDU/PA;CRB/AL;Domingo;0;1;0;0,427670477;0,30350808;0,268821443;0,427670477;0,30350808;0,268821443;0;1;0;1;X;2;2;0.427670;0.303508;0.268821
1127;5;ATLETICO/GO;CRICIUMA/SC;Domingo;0;0;1;0,511449106;0,278288484;0,21026241;0,511449106;0,278288484;0,21026241;0;0;1;1;X;2;3;0.511449;0.278288;0.210262
1127;6;SANTOS/SP;GOIAS/GO;Domingo;1;0;0;0,545404547;0,275910535;0,178684918;0,545404547;0,275910535;0,178684918;1;0;0;1;X;2;1;0.545405;0.275911;0.178685
1127;7;FORTALEZA/CE;GREMIO/RS;Domingo;1;0;0;0,484429066;0,290657439;0,224913495;0,484429066;0,290657439;0,224913495;1;0;0;1;X;2;1;0.484429;0.290657;0.224913
1127;8;JUVENTUDE/RS;VASCO DA GAMA/RJ;Domingo;1;0;0;0,422178988;0,306420233;0,271400778;0,422178988;0,306420233;0,271400778;1;0;0;1;X;2;1;0.422179;0.306420;0.271401
1127;9;SAO PAULO/SP;CUIABA/MT;Domingo;0;0;1;0,65633546;0,237921604;0,105742935;0,65633546;0,237921604;0,105742935;0;0;1;1;X;2;3;0.656335;0.237922;0.105743
1127;10;BOTAFOGO/SP;PONTE PRETA/SP;Domingo;1;0;0;0,447160587;0,323805942;0,229033471;0,447160587;0,323805942;0,229033471;1;0;0;1;X;2;1;0.447161;0.323806;0.229033
1127;11;CRUZEIRO/MG;FLUMINENSE/RJ;Domingo;1;0;0;0,514164734;0,276741607;0,209093659;0,514164734;0,276741607;0,209093659;1;0;0;1;X;2;1;0.514165;0.276742;0.209094
1127;12;INTERNACIONAL/RS;CORINTHIANS/SP;Domingo;1;0;0;0,430888031;0,305791506;0,263320463;0,430888031;0,305791506;0,263320463;1;0;0;1;X;2;1;0.430888;0.305792;0.263320
1127;13;BRUSQUE/SC;AVAI/SC;Domingo;0;1;0;0,310126582;0,310126582;0,379746835;0,379746835;0,310126582;0,310126582;0;1;0;2;1;X;3;0.379747;0.310127;0.310127
1127;14;CORITIBA/PR;AMERICA/MG;Domingo;1;0;0;0,419297201;0,294818344;0,285884455;0,419297201;0,294818344;0,285884455;1;0;0;1;X;2;1;0.419297;0.294818;0.285884
1128;1;GREMIO/RS;INTERNACIONAL/RS;Domingo;0;0;1;0,327775519;0,306628711;0,365595771;0,365595771;0,327775519;0,306628711;1;0;0;2;1;X;1;0.365596;0.327776;0.306629
